change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian,"conqat, deckard","conqat, iclones","conqat, nicad5","conqat, simcad","conqat, simian","deckard, iclones","deckard, nicad5","deckard, simcad","deckard, simian","iclones, nicad5","iclones, simcad","iclones, simian","nicad5, simcad","nicad5, simian","simcad, simian","conqat, deckard, iclones","conqat, deckard, nicad5","conqat, deckard, simcad","conqat, deckard, simian","conqat, iclones, nicad5","conqat, iclones, simcad","conqat, iclones, simian","conqat, nicad5, simcad","conqat, nicad5, simian","conqat, simcad, simian","deckard, iclones, nicad5","deckard, iclones, simcad","deckard, iclones, simian","deckard, nicad5, simcad","deckard, nicad5, simian","deckard, simcad, simian","iclones, nicad5, simcad","iclones, nicad5, simian","iclones, simcad, simian","nicad5, simcad, simian","conqat, deckard, iclones, nicad5","conqat, deckard, iclones, simcad","conqat, deckard, iclones, simian","conqat, deckard, nicad5, simcad","conqat, deckard, nicad5, simian","conqat, deckard, simcad, simian","conqat, iclones, nicad5, simcad","conqat, iclones, nicad5, simian","conqat, iclones, simcad, simian","conqat, nicad5, simcad, simian","deckard, iclones, nicad5, simcad","deckard, iclones, nicad5, simian","deckard, iclones, simcad, simian","deckard, nicad5, simcad, simian","iclones, nicad5, simcad, simian","conqat, deckard, iclones, nicad5, simcad","conqat, deckard, iclones, nicad5, simian","conqat, deckard, iclones, simcad, simian","conqat, deckard, nicad5, simcad, simian","conqat, iclones, nicad5, simcad, simian","deckard, iclones, nicad5, simcad, simian"
10713,10,1,0,0.1,0.1,0.1,0.1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,0.1
10714,10,1,0,0.1,0.1,0.1,0.1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,0.1
10715,10,1,0,0.1,0.1,0.1,0,1,1,1,1,1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,0.1
10716,164,0.006097561,1,0,0.006097561,0.006097561,0.012195122,1,0.006097561,0.006097561,0.006097561,0.012195122,1,1,1,1,0.006097561,0.006097561,0.012195122,0.006097561,0.012195122,0.012195122,1,1,1,1,0.006097561,0.006097561,0.012195122,0.006097561,0.012195122,0.012195122,1,1,1,1,1,1,0.006097561,0.012195122,0.012195122,0.012195122,1,1,1,1,1,1,0.006097561,0.012195122,0.012195122,0.012195122,1,1,1,1,0.012195122,1,1,1,1,0.012195122,1
10717,164,0,1,0,0,0,0.012195122,1,0,0,0,0.012195122,1,1,1,1,0,0,0.012195122,0,0.012195122,0.012195122,1,1,1,1,0,0,0.012195122,0,0.012195122,0.012195122,1,1,1,1,1,1,0,0.012195122,0.012195122,0.012195122,1,1,1,1,1,1,0,0.012195122,0.012195122,0.012195122,1,1,1,1,0.012195122,1,1,1,1,0.012195122,1
10718,167,0.035928144,0.982035928,0.005988024,0.005988024,0.017964072,0.011976048,0.994011976,0.035928144,0.035928144,0.041916168,0.041916168,0.982035928,0.982035928,0.994011976,0.982035928,0.005988024,0.017964072,0.011976048,0.017964072,0.011976048,0.023952096,0.994011976,0.994011976,1,0.994011976,0.035928144,0.041916168,0.041916168,0.041916168,0.041916168,0.047904192,0.982035928,0.994011976,0.982035928,0.994011976,0.982035928,0.994011976,0.017964072,0.011976048,0.023952096,0.023952096,0.994011976,1,0.994011976,1,0.994011976,1,0.041916168,0.041916168,0.047904192,0.047904192,0.994011976,0.982035928,0.994011976,0.994011976,0.023952096,1,0.994011976,1,1,0.047904192,0.994011976
10719,4,0.25,0,0.25,0.25,0.75,0.5,0.25,0.25,0.25,0.75,0.5,0.25,0.25,0.75,0.5,0.25,0.75,0.5,0.75,0.5,1,0.25,0.25,0.75,0.5,0.25,0.75,0.5,0.75,0.5,1,0.25,0.75,0.5,0.75,0.5,1,0.75,0.5,1,1,0.25,0.75,0.5,0.75,0.5,1,0.75,0.5,1,1,0.75,0.5,1,1,1,0.75,0.5,1,1,1,1
10720,3,0.333333333,0,0,0.333333333,1,0,0.333333333,0.333333333,0.333333333,1,0.333333333,0,0.333333333,1,0,0.333333333,1,0,1,0.333333333,1,0.333333333,0.333333333,1,0.333333333,0.333333333,1,0.333333333,1,0.333333333,1,0.333333333,1,0,1,0.333333333,1,1,0.333333333,1,1,0.333333333,1,0.333333333,1,0.333333333,1,1,0.333333333,1,1,1,0.333333333,1,1,1,1,0.333333333,1,1,1,1
10721,32,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10723,159,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10726,22,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10733,41,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10734,32,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10737,98,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10738,98,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10739,98,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10746,24,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10747,24,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10748,8,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
