,,Detection Recall,,,,,
change_id,num_cloned_cochange,conqat,deckard,iclones,nicad5,simcad,simian
43507,7,0,1,0,0,0,0
43509,7,0,1,0,0,0,0
43511,7,0,1,0,0,0,0
43513,8,0,1,0,0,0,0
43514,8,0,1,0,0,0,0
43516,2,0,1,0,0,0,0
43528,1,0,1,0,0,0,0
43529,9,0,1,0,0,0,0
43533,6,0,1,0,0,0,0
43534,2,0,1,0,0,0,0
43535,2,0,1,0,0,0,0
43540,7,0,1,0,0,0,0
43541,6,0,1,0,0,0,0
43552,4,0,1,0,0,0,0
43553,4,0,1,0,0,0,0
43554,4,0,1,0,0,0,0
43555,7,0,1,0,0,0,0
43557,8,0,1,0,0,0,0
43561,7,0,1,0,0,0,0
43565,1,0,1,0,0,0,0
43566,1,0,1,0,0,0,0
43567,1,0,1,0,0,0,0
43568,1,0,1,0,0,0,0
43574,3,0,1,0,0,0,0
43579,14,0,1,0,0,0,0
43584,1,0,1,0,0,0,0
43600,1,0,1,0,0,0,0
43601,15,0,1,0,0,0,0
43602,15,0,1,0,0,0,0
43605,7,0,1,0,0,0,0
43606,7,0,1,0,0,0,0
43608,1,0,1,0,0,0,0
43614,6,0,1,0,0,0,0
43623,7,0,1,0,0,0,0
43624,7,0,1,0,0,0,0
43627,3,0,1,0,0,0,0
43628,15,0,1,0,0,0,0
43629,2,0,0,1,0,0,0
43630,2,0,0,1,0,0,0
43631,13,0,1,0,0,0,0
43632,2,0,0,1,0,0,0
43633,2,0,0,1,0,0,0
43635,14,0,1,0,0,0.14,0
43636,14,0,1,0,0,0.14,0
43637,5,0,1,0,0,0.4,0
43638,5,0,1,0,0,0.4,0
43641,1,0,1,0,0,0,0
43642,1,0,1,0,0,0,0
43649,2,0,1,0,0,0.5,0
43650,2,0,1,0,0,0.5,0
43651,2,0,1,0,0,0,0
43653,1,0,1,0,0,0,0
43657,9,0,1,0,0,0,0
43658,9,0,1,0,0,0,0
43681,2,0,1,0,0,0,0
43682,1,0,1,0,0,0,0
43686,1,0,1,0,0,0,0
43690,5,0,1,0,0,0,0
43691,5,0,1,0,0,0,0
43692,5,0,1,0,0,0,0
43693,3,0,1,0,0,0,0
43694,7,0,1,0,0,0,0
43702,11,0,1,0,0,0,0
43703,2,0,1,0,0,0,0
43704,2,0,1,0,0,0,0
43705,3,0.67,0,0.67,1,1,0.33
43706,3,0,0,0,1,1,0
43707,2,0.5,0,0.5,1,1,0
43708,2,0.5,0,0.5,1,1,0.5
43709,2,0,0,0,1,1,0
43713,11,0,1,0,0,0,0
43714,11,0,1,0,0,0,0
43716,1,0,1,0,0,0,0
43717,6,0,1,0,0,0,0
43718,18,0,1,0,0,0,0
43720,7,0,1,0,0,0,0
43721,11,0,1,0,0,0,0
43722,11,0,1,0,0,0,0
43723,7,0,1,0,0,0,0
43725,9,0,1,0,0,0,0
43726,13,0,1,0,0,0,0
43727,14,0,1,0,0,0,0
43732,2,0,1,0,0,0,0
43734,3,0,0.67,0.33,0.33,0,0.33
43735,1,0,0,1,1,0,1
43736,2,0,1,0,0,0,0
43741,2,0,1,0,0,0,0
43749,2,0,1,0,0,0,0
43750,2,0,1,0,0,0,0
43751,3,0,1,0,0,0,0
43753,13,0,1,0,0,0,0
43754,5,1,0,0.8,1,1,0.8
43755,5,1,0,0.8,1,1,0.8
43756,15,0.33,0.67,0.27,0.33,0.33,0.27
43757,15,0.33,0.67,0.27,0.33,0.33,0.27
43758,5,1,0,0,1,1,0.2
43768,3,0,1,0,0,0,0
43769,6,0,1,0,0,0,0
43770,6,0,1,0,0,0,0
43771,2,0,1,0,0,0,0
43772,2,0,1,0,0,0,0
43773,5,1,0,0.8,1,1,0.8
43774,5,1,0,0.8,1,1,0.8
43775,6,0.83,0.17,0.67,0.83,0.83,0.67
43776,6,0.83,0.17,0.67,0.83,0.83,0.67
43777,5,1,0,0,1,1,0.2
43778,3,0,0,0,1,0,0
43779,3,0,0,0,1,0,0
43784,2,0,0,0,1,0,0
43785,2,0,0,0,1,0,0
43786,2,0,0,0,1,0,0
43791,5,0,1,0,0,0,0
43792,1,0,1,0,0,0,0
43793,1,0,1,0,0,0,0
43794,1,0,1,0,0,0,0
43795,1,0,1,0,0,0,0
43796,1,0,1,0,0,0,0
43801,5,0,1,0,0,0,0
43808,3,0,1,0,0,0,0
