change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
44893,1330,2,0.00
44894,1330,2,0.00
44895,1330,2,0.00
44896,1330,34,0.03
44943,1330,7,0.01
44944,1330,7,0.01
44945,1330,14,0.01
44946,1330,14,0.01
44947,1330,7,0.01
44950,1330,2,0.00
44951,1330,6,0.00
44952,1330,6,0.00
44953,1330,44,0.03
44954,1330,44,0.03
44955,1330,44,0.03
44956,1330,60,0.05
44957,1330,25,0.02
44958,1330,143,0.11
44959,1330,159,0.12
44960,1330,13,0.01
44964,1330,5,0.00
44965,1330,5,0.00
44966,1330,5,0.00
44967,1330,5,0.00
44968,1330,10,0.01
44969,1330,10,0.01
44970,1330,5,0.00
44974,1330,7,0.01
44975,1330,46,0.03
44986,1330,65,0.05
44987,1330,65,0.05
44988,1330,66,0.05
44989,1330,16,0.01
44990,1330,29,0.02
44991,1330,83,0.06
44992,1330,86,0.06
44993,1330,4,0.00
44998,1330,9,0.01
44999,1330,9,0.01
45000,1330,6,0.00
45003,1330,7,0.01
45004,1330,118,0.09
45005,1330,87,0.07
45006,1330,102,0.08
45007,1330,102,0.08
45008,1330,102,0.08
45009,1330,97,0.07
45010,1330,97,0.07
45011,1330,97,0.07
45012,1330,97,0.07
45014,1330,5,0.00
45015,1330,5,0.00
45016,1330,52,0.04
45017,1330,51,0.04
45018,1330,57,0.04
45019,1330,66,0.05
45020,1330,36,0.03
45021,1330,9,0.01
45022,1330,7,0.01
45023,1330,7,0.01
45024,1330,9,0.01
45025,1330,9,0.01
45026,1330,7,0.01
45027,1330,7,0.01
45028,1330,48,0.04
45029,1330,48,0.04
45030,1330,9,0.01
45031,1330,14,0.01
45032,1330,14,0.01
45033,1330,7,0.01
45034,1330,7,0.01
45035,1330,7,0.01
45036,1330,13,0.01
45040,1330,54,0.04
45041,1330,7,0.01
45045,1330,124,0.09
45046,1330,58,0.04
45047,1330,58,0.04
45048,1330,58,0.04
45049,1330,78,0.06
45050,1330,123,0.09
45051,1330,126,0.09
45052,1330,106,0.08
45053,1330,37,0.03
45054,1330,34,0.03
45055,1330,54,0.04
45056,1330,29,0.02
45057,1330,29,0.02
45058,1330,29,0.02
45059,1330,29,0.02
45061,1330,3,0.00
45062,1330,3,0.00
45063,1330,83,0.06
45064,1330,97,0.07
45065,1330,6,0.00
45066,1330,11,0.01
45067,1330,29,0.02
45068,1330,29,0.02
45069,1330,24,0.02
45070,1330,24,0.02
45071,1330,24,0.02
45072,1330,36,0.03
45073,1330,55,0.04
45074,1330,53,0.04
45075,1330,57,0.04
45076,1330,17,0.01
45077,1330,13,0.01
45081,1330,1,0.00
45082,1330,65,0.05
45083,1330,17,0.01
45084,1330,19,0.01
45085,1330,4,0.00
45086,1330,4,0.00
45090,1330,3,0.00
45091,1330,4,0.00
45092,1330,1,0.00
45093,1330,1,0.00
45094,1330,1,0.00
45095,1330,8,0.01
45096,1330,8,0.01
45097,1330,79,0.06
45098,1330,79,0.06
45099,1330,14,0.01
45100,1330,7,0.01
45101,1330,37,0.03
45102,1330,110,0.08
45103,1330,84,0.06
45104,1330,26,0.02
45105,1330,26,0.02
45106,1330,26,0.02
45107,1330,26,0.02
45108,1330,122,0.09
45109,1330,120,0.09
45110,1330,122,0.09
45111,1330,4,0.00
45112,1330,5,0.00
