change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
41304,17,1,0.06
41305,17,2,0.12
41306,17,1,0.06
41307,17,1,0.06
41308,17,1,0.06
41320,13,2,0.15
41336,2,1,0.50
41344,50,1,0.02
41345,50,5,0.10
41346,50,5,0.10
41347,50,5,0.10
41348,50,5,0.10
41349,50,5,0.10
41354,50,5,0.10
41355,50,3,0.06
41356,50,3,0.06
41361,50,1,0.02
41362,50,5,0.10
41363,50,5,0.10
41364,50,5,0.10
41365,50,5,0.10
41366,50,5,0.10
41367,50,3,0.06
41368,50,3,0.06
41369,50,3,0.06
41371,50,3,0.06
41372,50,2,0.04
41389,50,3,0.06
41390,50,2,0.04
41431,5,2,0.40
41432,5,2,0.40
41433,5,2,0.40
41444,10,1,0.10
41445,10,1,0.10
41447,10,1,0.10
41469,6,1,0.17
41470,6,1,0.17
41484,9,1,0.11
41485,9,1,0.11
41501,30,2,0.07
41502,30,2,0.07
41503,30,2,0.07
41504,30,2,0.07
41509,30,4,0.13
41518,30,3,0.10
41519,30,3,0.10
41520,30,4,0.13
41521,30,4,0.13
41560,11,1,0.09
41563,11,2,0.18
41565,11,1,0.09
41566,11,1,0.09
41567,11,1,0.09
41580,1,1,1.00
41609,3,2,0.67
41610,3,2,0.67
41611,3,2,0.67
41612,3,2,0.67
41637,30,2,0.07
41638,30,2,0.07
41639,30,2,0.07
41640,30,2,0.07
41668,48,2,0.04
41682,48,9,0.19
41693,48,8,0.17
41694,48,8,0.17
41695,48,3,0.06
41696,48,1,0.02
41697,48,10,0.21
41698,48,9,0.19
41699,48,12,0.25
41701,48,2,0.04
41702,48,2,0.04
41704,48,8,0.17
41705,48,8,0.17
41706,48,8,0.17
41707,48,8,0.17
41709,48,1,0.02
41710,48,1,0.02
41726,18,7,0.39
41727,18,7,0.39
41728,18,7,0.39
41729,18,2,0.11
41730,18,7,0.39
41731,18,1,0.06
41732,18,1,0.06
41733,18,5,0.28
41734,18,5,0.28
41735,18,5,0.28
41737,18,7,0.39
41738,13,4,0.31
41739,13,2,0.15
41740,13,4,0.31
41743,13,4,0.31
41744,13,3,0.23
41748,13,4,0.31
41749,13,2,0.15
41750,13,4,0.31
41751,13,3,0.23
41753,25,3,0.12
41756,25,2,0.08
41757,25,3,0.12
41758,25,4,0.16
41759,25,4,0.16
41763,25,3,0.12
41764,25,4,0.16
41765,25,2,0.08
41766,25,2,0.08
41767,25,2,0.08
41768,25,3,0.12
41769,25,2,0.08
41770,25,4,0.16
41771,25,4,0.16
41772,25,4,0.16
41775,25,4,0.16
41776,25,4,0.16
41782,8,2,0.25
41783,8,2,0.25
41784,8,2,0.25
41785,8,2,0.25
41827,6,1,0.17
41829,6,1,0.17
41880,19,6,0.32
41883,19,2,0.11
41885,19,2,0.11
41887,19,6,0.32
41888,19,2,0.11
41890,19,6,0.32
41892,19,6,0.32
41894,19,6,0.32
41896,19,6,0.32
41898,19,6,0.32
41923,48,4,0.08
41924,48,4,0.08
41938,48,4,0.08
41939,48,4,0.08
41940,48,5,0.10
41950,48,1,0.02
41951,48,5,0.10
41961,64,1,0.02
41962,64,1,0.02
42026,3,1,0.33
42032,18,1,0.06
42033,18,1,0.06
42034,18,1,0.06
42038,18,1,0.06
42044,18,3,0.17
42083,8,1,0.13
42084,8,1,0.13
42087,8,2,0.25
42096,17,4,0.24
42097,17,4,0.24
42098,17,5,0.29
42103,17,3,0.18
42104,17,3,0.18
42105,17,3,0.18
42109,5,1,0.20
42110,5,1,0.20
42122,4,2,0.50
42123,4,2,0.50
42125,4,2,0.50
42150,24,12,0.50
42151,24,13,0.54
42152,24,7,0.29
42153,24,12,0.50
42154,24,12,0.50
42155,24,10,0.42
42156,24,14,0.58
42157,24,13,0.54
42158,24,12,0.50
42159,24,14,0.58
42160,24,14,0.58
42161,24,14,0.58
42162,24,14,0.58
42163,24,15,0.63
42164,24,14,0.58
42165,24,14,0.58
42184,7,1,0.14
42185,7,1,0.14
42202,11,3,0.27
42203,11,3,0.27
42204,11,3,0.27
42205,11,4,0.36
42208,11,3,0.27
533,,,0.17
