change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
44231,10,4,0.40
44232,10,4,0.40
44237,24,4,0.17
44239,24,3,0.13
44240,24,5,0.21
44243,24,3,0.13
44244,24,3,0.13
44250,24,1,0.04
44251,24,1,0.04
44268,16,3,0.19
44269,16,3,0.19
44270,16,3,0.19
44271,16,3,0.19
44272,16,3,0.19
44273,16,3,0.19
44301,26,1,0.04
44304,26,5,0.19
44308,26,2,0.08
44309,26,2,0.08
44310,26,2,0.08
44311,26,2,0.08
44313,26,1,0.04
44314,26,5,0.19
44315,26,1,0.04
44348,37,10,0.27
44349,37,10,0.27
44350,37,8,0.22
44351,37,11,0.30
44352,37,8,0.22
44353,37,11,0.30
44356,37,12,0.32
44357,37,4,0.11
44358,37,4,0.11
44359,37,6,0.16
44360,37,10,0.27
44361,37,1,0.03
44362,37,1,0.03
44363,37,8,0.22
44364,37,11,0.30
44365,37,9,0.24
44367,37,1,0.03
44368,37,1,0.03
44369,37,2,0.05
44370,37,6,0.16
44372,37,1,0.03
44373,37,1,0.03
44376,37,2,0.05
44396,19,1,0.05
44397,19,1,0.05
44430,26,1,0.04
44438,26,2,0.08
44441,26,2,0.08
44445,26,1,0.04
44467,25,2,0.08
44474,25,2,0.08
44478,25,1,0.04
44479,25,3,0.12
44483,25,2,0.08
44485,25,1,0.04
44496,19,2,0.11
44498,19,2,0.11
44591,308,1,0.00
44592,308,1,0.00
44645,308,5,0.02
44646,308,5,0.02
44647,308,6,0.02
44648,308,5,0.02
44649,308,5,0.02
44650,308,6,0.02
44658,308,6,0.02
44672,308,1,0.00
44679,308,1,0.00
44708,308,2,0.01
44709,308,2,0.01
44713,308,1,0.00
44714,308,2,0.01
44715,308,2,0.01
44722,308,2,0.01
44723,308,1,0.00
44724,308,1,0.00
44732,308,2,0.01
44733,308,2,0.01
44735,308,2,0.01
44736,308,2,0.01
44746,308,1,0.00
44796,308,2,0.01
44797,308,1,0.00
44798,308,2,0.01
44805,308,3,0.01
44806,308,2,0.01
44807,308,2,0.01
44814,308,2,0.01
44815,308,2,0.01
44816,308,1,0.00
44817,308,1,0.00
44858,68,1,0.01
44875,68,1,0.01
44876,68,3,0.04
44880,68,2,0.03
44893,68,2,0.03
44900,68,1,0.01
44939,27,13,0.48
44940,27,13,0.48
44941,27,13,0.48
44942,27,13,0.48
44943,27,8,0.30
44944,27,16,0.59
44945,27,16,0.59
44946,27,9,0.33
44947,27,9,0.33
44948,27,17,0.63
44949,27,16,0.59
44950,27,15,0.56
44951,27,16,0.59
44952,27,16,0.59
44953,27,16,0.59
44955,27,14,0.52
44956,27,12,0.44
44957,27,14,0.52
44963,18,1,0.06
44964,18,5,0.28
44965,18,4,0.22
44967,18,2,0.11
44968,18,2,0.11
44969,18,2,0.11
44970,18,2,0.11
44971,18,2,0.11
44998,53,4,0.08
44999,53,9,0.17
45001,53,3,0.06
45002,53,7,0.13
45003,53,7,0.13
45004,53,10,0.19
45005,53,12,0.23
45006,53,14,0.26
45007,53,13,0.25
45009,53,2,0.04
45010,53,2,0.04
45012,53,1,0.02
45016,53,2,0.04
45017,53,6,0.11
45018,53,4,0.08
45026,53,14,0.26
45027,53,7,0.13
45028,53,10,0.19
45029,53,6,0.11
45030,53,7,0.13
45033,53,1,0.02
45038,53,1,0.02
45039,53,1,0.02
45044,53,1,0.02
45093,21,1,0.05
45094,21,1,0.05
45099,13,2,0.15
45100,13,2,0.15
45101,13,2,0.15
45105,13,1,0.08
45106,13,1,0.08
45108,13,2,0.15
45109,13,2,0.15
45110,13,2,0.15
45111,4,1,0.25
45112,4,2,0.50
45114,4,1,0.25
45133,72,1,0.01
45135,72,1,0.01
45136,72,1,0.01
45138,72,1,0.01
45139,72,1,0.01
45140,72,1,0.01
45157,72,1,0.01
45158,72,1,0.01
45228,15,8,0.53
45229,15,5,0.33
45230,15,5,0.33
45231,15,8,0.53
45232,15,4,0.27
45233,15,4,0.27
45234,15,4,0.27
45235,15,4,0.27
45236,15,4,0.27
45317,13,1,0.08
45318,13,1,0.08
45319,13,1,0.08
45320,13,5,0.38
45321,13,3,0.23
45322,13,3,0.23
45323,13,2,0.15
