"change_id","conqat","deckard","iclones","nicad5","simcad","simian"
"43147",,"43066, 43067, 43068, 43069, 43108, 43142, 43149, 43170, 43171",,,,
"43149",,"43099, 43100, 43108, 43147, 43153, 43154, 43156, 43157, 43158, 43170, 43171",,,,
"43151",,"43067, 43068, 43069",,,,
"43152",,"43067, 43068, 43069",,,,
"43153",,"43099, 43108, 43141, 43149, 43170, 43171",,,,
"43154",,"43099, 43108, 43141, 43149, 43170, 43171",,,,
"43156",,"43100, 43149",,,,
"43157",,"43100, 43149",,,,
"43158",,"43100, 43149",,,,
"43170",,"43099, 43108, 43147, 43149, 43153, 43154",,,"43102",
"43171",,"43099, 43108, 43147, 43149, 43153, 43154",,,"43102",
"43172",,,,,"43102",
"43173",,,,,"43102",
"43176",,"43187, 43188, 43189, 43190, 43191, 43202, 43211, 43212, 43229, 43246, 43264, 43265, 43266",,,,
"43187",,"43176, 43190, 43191, 43202, 43211, 43246, 43248, 43249, 43250, 43251, 43257, 43259, 43260, 43264, 43265, 43266",,,,
"43188",,"43176, 43190, 43191, 43202, 43211, 43246, 43248, 43249, 43250, 43251, 43257, 43259, 43260, 43264, 43265, 43266",,,,
"43189",,"43176, 43190, 43191, 43202, 43211, 43246, 43248, 43249, 43250, 43251, 43257, 43259, 43260, 43264, 43265, 43266",,,,
"43190",,"43176, 43187, 43188, 43189, 43202, 43211, 43235, 43236, 43237, 43246, 43257, 43259, 43260, 43264, 43265, 43266",,,,
"43191",,"43176, 43187, 43188, 43189, 43202, 43211, 43235, 43236, 43237, 43246, 43257, 43259, 43260, 43264, 43265, 43266",,,,
"43202",,"43176, 43187, 43188, 43189, 43190, 43191, 43211, 43212, 43230, 43245, 43246, 43257, 43259, 43260, 43264, 43265, 43266, 43273, 43278",,,,
"43209",,"43254, 43255",,,,
"43210",,"43254, 43255",,,,
"43211",,"43176, 43187, 43188, 43189, 43190, 43191, 43202, 43212, 43230, 43235, 43236, 43237, 43246, 43248, 43249, 43250, 43251, 43257, 43259, 43260, 43264, 43265, 43266, 43273",,,,
"43212",,"43176, 43202, 43211, 43230, 43235, 43236, 43237, 43245, 43246, 43251, 43257, 43259, 43260, 43264, 43265, 43266, 43273, 43278",,,,
"43229",,"43176",,,,
"43230",,"43202, 43211, 43212, 43264, 43265, 43266, 43273, 43275, 43276",,,,
"43235",,"43190, 43191, 43211, 43212, 43251",,,,
"43236",,"43190, 43191, 43211, 43212, 43251",,,,
"43237",,"43190, 43191, 43211, 43212, 43251",,,,
"43240",,"43245",,,,
"43241",,"43252",,,,
"43242",,"43251, 43262, 43263, 43274",,,,
"43245",,"43202, 43212, 43240, 43258, 43259, 43260, 43278",,,,
"43246",,"43176, 43187, 43188, 43189, 43190, 43191, 43202, 43211, 43212, 43251, 43257, 43259, 43260",,,,
"43248",,"43187, 43188, 43189, 43211, 43251",,,,
"43249",,"43187, 43188, 43189, 43211, 43251",,,,
"43250",,"43187, 43188, 43189, 43211, 43251",,,,
"43251",,"43187, 43188, 43189, 43211, 43212, 43235, 43236, 43237, 43242, 43246, 43248, 43249, 43250, 43257, 43259, 43260, 43274, 43278",,,,
"43252",,"43241",,,,
"43254",,"43209, 43210, 43264, 43265, 43266",,,,
"43255",,"43209, 43210, 43254, 43264, 43265, 43266",,,,
