change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
43254,7,0.00,0.86,0.00,0.14,0.00,0.00,0.00,0.00,0.00
43255,6,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43256,12,0.00,1.00,0.33,0.00,0.00,0.17,0.67,0.33,0.08
43257,12,0.00,1.00,0.25,0.00,0.00,0.17,0.67,0.33,0.08
43258,8,0.00,1.00,0.00,0.00,0.00,0.25,1.00,0.00,0.00
43259,8,0.00,1.00,0.13,0.00,0.00,0.25,1.00,0.00,0.13
43262,9,0.00,0.89,0.44,0.00,0.00,0.00,0.44,0.00,0.11
43263,10,0.00,0.80,0.20,0.20,0.00,0.00,0.40,0.00,0.00
43268,5,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
43277,2,0.50,0.00,0.50,0.00,0.00,1.00,0.50,0.50,1.00
43278,2,0.50,0.00,0.50,0.00,0.00,1.00,0.50,0.50,1.00
43279,2,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
43281,1,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43282,2,0.50,0.50,0.00,0.50,0.00,0.00,0.00,0.50,0.00
43285,2,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43286,4,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.75,0.00
43287,2,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43288,4,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.75,0.00
43289,2,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43290,4,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.75,0.00
43291,2,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43292,5,0.40,0.60,0.00,0.20,0.00,0.00,0.00,0.60,0.00
43301,5,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
43334,6,0.67,0.33,0.00,0.67,0.00,0.00,0.00,0.00,0.00
43335,4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43336,4,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43337,4,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00
