"change_id","ccfinder","cloneworks","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42760","42757, 42758",,"42757, 42758",,,,"42757, 42758","42757, 42758",
"42765",,,,"42750, 42751, 42792",,,,,
"42769","42770, 42771",,,"42749",,,,,
"42771","42769, 42770",,,,,,,,
"42780",,,,"42785",,,,,
"42785",,,,"42780",,,,,
"42786",,"42739, 42792",,"42792",,,,,
"42787",,,,"42792",,,,,
"42788",,,,,,,,"42786, 42787",
"42791",,"42757, 42759",,,,,,,
"42792",,"42739, 42786",,"42765, 42786, 42787",,,,,
"42811",,,"42814, 42815",,"42814","42814, 42815",,,"42814, 42815"
"42812","42815","42815","42814, 42815","42815",,"42814, 42815","42815","42815","42814, 42815"
"42814",,,"42811, 42812",,"42811","42811, 42812",,,"42811, 42812"
"42815","42812","42812","42811, 42812","42812",,"42811, 42812","42812","42812","42811, 42812"
"42829","42831, 42832",,"42831, 42832",,,,,,
"42830","42831, 42832",,"42831, 42832",,,,,,
"42831","42829, 42830",,"42829, 42830",,,,,,
"42832","42829, 42830",,"42829, 42830",,,,,,
"42862",,,,,,,,"42861",
"42891",,,"42894, 42895, 42896",,,,,,
"42892",,,"42894, 42895, 42896",,,,,,
"42893",,"42896","42894, 42895, 42896",,,,"42896","42896",
"42894",,,"42891, 42892, 42893",,,,,,
"42895",,,"42891, 42892, 42893",,,,,,
"42896",,"42893","42891, 42892, 42893",,,,"42893","42893",
"42943",,"42944",,,,,,,
"42944",,"42943",,,,,,,
"43005","43007, 43008, 43011, 43012, 43013, 43014",,,,,,,,
"43006","43007, 43008, 43011, 43012, 43013, 43014",,,,,,,,
"43007","43011, 43012, 43013, 43014",,,,,"43008, 43013, 43014",,,"43008, 43013, 43014"
"43008","43005, 43006, 43007, 43011, 43012, 43013, 43014",,,,,"43007, 43012, 43013, 43014",,,"43007, 43013, 43014"
"43011","43005, 43006, 43007, 43008, 43013, 43014",,,,,,,,
"43012","43005, 43006, 43007, 43008, 43013, 43014",,,,,"43008, 43014",,,
"43013","43005, 43006, 43007, 43008",,,,,"43007, 43008, 43014",,,"43007, 43008, 43014"
"43014","43005, 43006, 43007, 43008, 43011, 43012, 43013",,,,,"43007, 43008, 43012, 43013",,,"43007, 43008, 43013"
"43036","43037",,,,,,,,
"43037","43036",,,,,,,,
"43051","43050",,,"43052",,,,,
"43055",,,,"43053, 43054",,,,,
"43061",,"43068",,,,,,,
"43063",,,,"43067",,,,,
