"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42472",,,"42359, 42364, 42388, 42389, 42393, 42459, 42479, 42496, 42498, 42504","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520",,"42359, 42479",,,,,,
"42479",,"42388, 42389","42359, 42364, 42388, 42389, 42393, 42457, 42459, 42472, 42496, 42498, 42504","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42484, 42485, 42496, 42498, 42504, 42519, 42520","42359, 42388, 42389, 42496, 42498, 42504","42359, 42472, 42496, 42498, 42504",,,,,,
"42482",,,,"42358, 42393",,,,,,,,
"42483",,,,,,,"42500",,,,,
"42484",,,,"42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42485, 42496, 42498, 42504, 42519, 42520",,,,,,,,
"42485",,,,"42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42496, 42498, 42504, 42519, 42520",,,,,,,,
"42490",,,,,,,"42398, 42457, 42459, 42491, 42492, 42519, 42520",,,,,
"42491",,,,,,,"42376, 42447, 42457, 42459, 42490, 42497, 42499, 42505",,,,,
"42492",,,,,,,"42376, 42457, 42490, 42497, 42499, 42505",,,,,
"42496","42498, 42504","42498, 42504","42359, 42364, 42388, 42389, 42393, 42457, 42459, 42472, 42479, 42498, 42504","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42498, 42504, 42519, 42520","42359, 42479, 42498, 42504","42359, 42479, 42498, 42504","42457",,,,,
"42497",,,,,,,"42376, 42447, 42457, 42491, 42492, 42499, 42501, 42505",,,,,
"42498","42496, 42504","42496, 42504","42359, 42364, 42388, 42389, 42393, 42457, 42459, 42472, 42479, 42496, 42504","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42504, 42519, 42520","42359, 42479, 42496, 42504","42359, 42479, 42496, 42504","42457, 42504",,"42504",,,
"42499",,,,"42505, 42506",,,"42376, 42447, 42455, 42491, 42492, 42497, 42501, 42505",,,,,
"42500",,,,,,,"42483",,,,,
"42501",,,,,,,"42376, 42497, 42499",,,,,
"42503",,,,,,,"42457",,,,,
"42504","42496, 42498","42496, 42498","42359, 42364, 42388, 42389, 42393, 42457, 42459, 42472, 42479, 42496, 42498","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42519, 42520","42359, 42479, 42496, 42498","42359, 42479, 42496, 42498","42457, 42498",,"42498",,,
"42505",,,,"42499",,,"42376, 42491, 42492, 42497, 42499",,,,,
"42506",,,,"42499",,,,,,,,
"42509",,,,"42515",,,,,,,,
"42515",,,,"42509",,,,,,,,
