change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
39589,1,1,0,0,0,0,1
39590,1,1,0,0,0,0,1
39639,1,0,0,0,0,1,0
39671,1,0,0,0,1,0,1
39672,1,0,0,0,1,1,0
39673,1,0,0,0,1,1,0
39674,1,0,0,0,1,1,0
39676,1,0,0,0,1,1,0
39682,1,0,0,0,1,0,1
39708,1,0,1,0,0,0,0
39740,3,0.67,1,0,0,0,0
39741,1,0,1,0,0,0,0
39742,1,1,1,0,0,0,0
39743,1,1,1,0,0,0,0
39771,1,0,0,0,1,1,0
39772,1,0,0,0,1,0,0
39773,1,0,0,0,1,0,0
39775,1,0,0,0,1,1,0
39822,1,0,0,0,1,0,0
39823,1,0,0,0,1,0,0
39849,1,1,0,1,0,0,1
39850,1,1,0,1,0,0,1
39851,2,1,0,1,0,0,1
39868,1,0,0,0,1,0,0
39869,1,0,1,1,1,0,0
39870,3,0,0.33,0.33,1,0,0
39871,2,0,0,0,1,0,0
39872,2,0,0,0,1,0,0
39873,2,0,0,0,1,0,0
39874,5,0,0.8,0.4,0.6,0,0
39876,2,0,1,0,0,0,0
39890,1,0,0,0,0,0,1
39894,1,0,0,0,0,0,1
39921,5,0.8,0.8,0,0,0,0
39925,3,1,0,0,0,0,0
39926,4,0.75,0.75,0,0,0,0
39927,3,0.67,1,0,0,0,0
39929,5,0.8,0.8,0,0,0,0
39930,4,0,1,0,0,0,0
39931,4,0,1,0,0,0,0
39932,4,0,1,0,0,0,0
39935,4,0,1,0,0,0,0
39936,4,0,1,0,0,0,0
39975,1,1,0,0,0,0,0
39977,1,1,0,0,0,0,0
40056,2,1,0,0,0,0,0
40057,2,1,0,0,0,0,0
40059,2,1,0,0,0,0,0
40104,2,0,0,0,0,0,1
40107,1,0,0,0,0,0,1
40108,1,0,0,0,0,0,1
40224,1,1,0,0,0,0,0
40226,1,1,0,0,0,0,0
40274,2,0,1,0,0,0,0
40276,2,0,1,0,0,0,0
40287,1,0,0,0,1,0,0
40296,1,0,0,0,1,0,0
40310,1,0,0,1,0,0,0
40312,1,0,0,1,0,0,0
40327,1,0,0,1,0,0,1
40332,1,0,0,1,0,0,1
40406,1,1,0,0,0,0,1
40407,1,1,0,0,0,0,0
40408,1,1,0,0,0,0,0
40410,1,1,0,0,0,0,0
40411,1,1,0,0,0,0,0
40412,1,1,0,0,0,0,1
40424,6,0,0,0,0.33,1,0
40427,4,0,0,0,0.5,1,0
40428,4,0,0,0,0.5,1,0
40429,4,0,0,0,0,1,0
40430,4,0,0,0,0.5,1,0
40445,1,0,0,0,1,1,0
40446,1,0,0,0,1,1,0
40489,1,0,0,0,0,0,1
40490,1,0,0,0,0,0,1
40520,2,0,0.5,0,0.5,0,0
40521,1,0,0,0,1,0,0
40522,1,0,1,0,0,0,0
40537,6,0,1,0,0,0,0
40538,6,0,1,0,0,0,0
40539,5,0,1,0,0,0,0
40540,5,0,1,0,0,0,0
40541,2,0,1,0,0,0,0
40542,2,0,1,0,0,0,0
40543,6,0,1,0,0,0,0
40549,2,0.5,0.5,0,0.5,0,0
40550,1,1,1,0,0,0,0
40551,1,0,0,0,1,0,0
40606,4,0,0,0.75,1,0,0.75
40607,4,0.5,0,0.75,1,0,0.75
40608,4,0.5,0,0.75,1,0,0.75
40609,4,0,0,0.75,1,0,0.75
40610,4,0.5,0,0.75,1,0,0.75
40611,4,0.5,0,0.75,1,0,0.75
40612,6,0,0,0,1,0,0
