change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
54803,1,0,1,0,0,0,0
54804,2,0,1,0,0,0,0
54815,5,0,1,0,0,0,0
54818,4,0,1,0,0,0,0
54819,3,0,1,0,0,0,0
54820,8,0,1,0,0,0,0
54825,3,0,1,0,0,0,0
54832,1,0,0,0,0,1,0
54833,1,0,0,0,0,1,0
54836,2,0,0,0,1,0.5,0
54837,4,0,0.5,0,0.5,0.25,0
54838,10,0,0.8,0,0.2,0,0
54839,4,0,1,0,0,0,0
54840,3,0,1,0,0,0,0
54843,5,0,1,0,0,0,0
54844,1,0,1,0,0,0,0
54845,1,0,1,0,0,0,0
54929,1,0,1,0,0,0,0
54932,7,0,1,0,0,0,0
54933,7,0,1,0,0,0,0
54934,11,0,1,0,0,0,0
54935,5,0,1,0,0,0,0
54936,5,0,1,0,0,0,0
54937,7,0,1,0,0,0,0
54938,7,0,1,0,0,0,0
54943,9,0,1,0,0,0,0
54944,9,0,1,0,0,0,0
54964,2,0,0.5,0,1,0.5,0
54965,2,0,0.5,0,1,0.5,0
54966,2,0,0,0,1,0,0
54970,5,0,1,0,0,0,0
54975,1,0,1,0,0,0,0
54985,6,0,1,0,0,0,0
54986,6,0,1,0,0,0,0
54990,1,1,0,1,0,0,0
54994,1,1,0,1,0,0,0
55002,6,0,1,0,0,0,0
55006,1,0,1,0,0,0,0
55008,1,0,1,0,0,0,0
55015,3,0,0,1,1,0,0
55016,3,0,0,1,1,0,0
55017,3,0.33,0,1,1,0,0
55019,3,0,0,1,1,0,0
55020,3,0,0,1,1,0,0
55021,3,0.33,0,1,1,0,0
55026,6,0,1,0,0,0,0
55030,2,0,1,0,0,0,0
55031,2,0,1,0,0,0,0
55032,2,0,1,0,0,0,0
55033,2,0,1,0,0,0,0
55037,3,0,1,0,0,0,0
55038,4,0,1,0,0,0,0
55041,1,0,1,0,0,0,0
55042,1,0,1,0,0,0,0
55043,1,0,1,0,0,0,0
55044,1,0,1,0,0,0,0
55050,5,0,1,0,0,0,0
55051,1,0,0,0,0,1,0
55052,5,0,0.8,0,0,0.2,0
55053,5,0,0.8,0,0,0.2,0
55054,3,0,0,0,0,1,0
55055,4,0,1,0,0,0,0
55056,4,0,1,0,0,0,0
55064,4,0,1,0,0,0,0
55101,2,0,1,0,0,0,0
55102,2,0,1,0,0,0,0
55103,2,0,1,0,0,0,0
55109,6,1,0,0.83,0,0,0.83
55110,6,1,0,0.83,0,0,0.83
55111,7,1,0,0.71,0,0.29,0.86
55112,9,1,0,0,0,0.22,0
55116,4,0,0,0,0,0,1
55118,12,0.58,0,0.58,0,0.5,0.58
55119,6,0,0,0,0,1,0
55120,7,0.14,0,0,0,0.86,0
55121,7,0.14,0,0,0,0.86,0
55122,10,0.1,0.3,0,0,0.6,0
55123,10,0.2,0.3,0,0,0.6,0
55124,7,0.14,0,0,0,0.86,0
55125,6,0,0,0,0,1,0
55126,6,0,0,0,0,1,0
55127,6,0,0,0,0,1,0
55128,9,0,0,0,0,0.67,0.33
55129,9,0,0,0,0,0.67,0.33
55135,2,0,0,0,0,1,0
55136,1,0,0,0,0,1,0
55137,1,0,0,0,0,1,0
55139,1,1,0,0,0,0,0
55140,1,1,0,0,0,0,0
55141,1,1,0,0,0,0,0
55143,2,1,0,0,0,0,1
55146,4,0,0,0,0,0,1
55147,6,1,0,0.83,0,0,0.83
55148,6,1,0,0.83,0,0,0.83
55149,7,1,0,0.71,0,0.29,0.86
55150,4,1,0,0,0,0.5,0
55156,4,0,0,0,0,0,1
55158,2,0,0,0,1,0,0
55159,3,0,0.33,0,0.67,0,0
55160,2,0.5,0,0.5,1,0,0.5
55161,3,0,0,0,1,0,0
55162,3,0.33,0,0.33,1,0,0.33
55164,18,0.39,0,0.39,0,0.67,0.39
55165,13,0.08,0.08,0,0,0.92,0
55166,12,0,0,0,0,1,0
55167,12,0,0,0,0,1,0
55168,12,0,0,0,0,1,0
55169,15,0.2,0,0,0,0.8,0
55172,1,0,1,0,0,0,0
55173,1,0,1,0,0,0,0
55174,2,0,1,0,0,0,0
55181,2,0,1,0,0,0,0
55196,6,0.67,0,0,1,1,0
55197,6,0.67,0,0.5,1,1,0.5
55198,6,0.67,0,0.5,1,1,0.5
55199,6,0.67,0,0.5,1,1,0.5
55200,4,0,0,0,1,1,0
55201,4,0,0,0,1,1,0
55202,4,1,0,0,1,1,0
55203,4,1,0,0.75,1,1,0.75
55204,4,1,0,0.75,1,1,0.75
55205,4,1,0,0.75,1,1,0.75
55207,4,0,0,0,1,0,0
55212,1,0,0,0,1,1,0
55213,1,0,0,0,1,1,0
55221,1,1,0,1,1,0,1
55222,1,1,0,1,1,0,1
55225,15,0,1,0,0,0,0
55241,19,0,1,0,0,0,0
55242,22,0,1,0,0,0,0
55243,6,0,1,0,0,0,0
55248,6,0,0,0.67,1,1,0
55249,8,0.38,0.38,0.5,0.75,0.75,0.38
55250,6,0.5,0,0.67,1,1,0.5
55251,6,0.5,0,0.67,1,1,0.5
55252,6,0,0,0,1,1,0
55253,6,0,0,0,1,1,0
55254,7,0.14,0.14,0,0.86,0.86,0
