change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
52340,3,0,0,0,1,1,0
52342,4,0,1,0,0,0,0
52927,5,0.6,0.8,0.6,0.6,0.6,0
52928,3,1,0.67,1,1,1,0.67
52929,3,1,0.67,1,1,1,0.67
52930,1,1,1,0,1,1,0
52931,3,1,0,1,1,1,0
52932,3,1,1,1,1,1,0.67
52933,3,1,1,1,1,1,0.67
52934,1,1,1,0,1,1,0
52943,2,0,1,0,0,0,0
52944,2,0,1,0,0,0,0
52947,2,0,1,0,0,0,0
52948,2,0,1,0,0,0,0
52950,1,1,1,0,1,1,0
52951,1,1,0,0,1,1,0
52952,1,1,1,0,1,1,0
52953,1,1,0,0,1,1,0
52961,2,0,1,0,0,0,0
52962,2,0,1,0,0,0,0
52964,2,0,1,0,0,0,0
52965,2,0,1,0,0,0,0
52967,12,0,1,0,0,0,0
52968,11,0,1,0,0,0,0
52970,1,0,1,0,0,0,0
52971,7,0,0.29,0,0,0.71,0
52972,5,0,0,0,0,1,0
52973,5,0,0,0,0,1,0
52974,5,0,0,0,0,1,0
52975,2,0,0,0,1,0,0
52976,2,0.5,0,0,1,0,0
52977,2,0.5,0,0,1,0,0
52978,3,0,0,0,1,0,0
52979,4,0.75,0,0,0.75,0,0
52980,6,0,0,0,0,1,0
52981,6,0,0,0,0,1,0
52982,6,0,0,0,0,1,0
52983,2,0,1,0,0,0,0
52984,3,0,0.33,0,0.67,0.67,0
52985,2,0,0,0,1,1,0
52986,2,0,0,0,1,1,0
52987,2,0,0,0,1,1,0
52989,7,0,0,0,0,1,0
52990,8,0.13,0,0,0,0.88,0
52994,2,0,1,0,0,0,0
52995,5,0,0.4,0,0,0.6,0.6
52996,3,0,0.33,0,0,0.33,1
52997,4,0,0,0,0,0.75,0.75
52999,1,0,1,0,0,0,0
53000,1,0,1,0,0,0,0
53003,9,0,1,0,0,0,0
53004,9,0,1,0,0,0,0
53007,1,0,0,1,0,1,0
53008,4,0,0,0,0,1,0
53009,4,0,0,0,0,1,0
53010,4,0,0,0,0,1,0
53011,1,0,1,0,0,0,0
53012,4,0,0,0,0,1,0
53013,4,0,0,0,0,1,0
53016,1,0,0,1,0,1,0
53017,2,0,1,0,0,0,0
53018,5,0,0.4,0,0,0.6,0.6
53019,3,0,0.33,0,0,0.33,1
53020,4,0,0,0,0,0.75,0.75
53029,3,0,1,0,0,0,0
53039,2,0,1,0,0,0,0
53044,3,0,1,0,0,0,0
53054,8,0,1,0,0,0,0
53055,12,0,1,0,0,0,0
53064,9,0,1,0,0,0,0
53065,6,0,1,0,0,0,0
53066,6,0,1,0,0,0,0
53068,10,0,1,0,0,0,0
53079,6,0,1,0,0,0,0
53091,1,0,1,0,0,0,0
53099,3,0,1,0,0,0,0
53108,8,0,1,0,0,0,0
53109,12,0,1,0,0,0,0
53144,1,0,1,0,0,0,0
53145,1,0,1,0,0,0,0
53146,1,0,0,0,1,1,0
53147,1,0,0,0,1,1,0
53151,1,0,1,0,0,0,0
53152,1,0,1,0,0,0,0
53154,2,0,1,0,0,0,0
53160,1,0,1,0,0,0,0
53168,9,0,1,0,0,0,0
53175,2,0,1,0,0,0,0
53176,6,0,1,0,0,0,0
53177,6,0,1,0,0,0,0
53180,3,0,1,0,0,0,0
53181,6,0,1,0,0,0,0
53185,1,0,1,0,0,0,0
53189,1,0,1,0,0,0,0
53190,1,0,1,0,0,0,0
53192,4,0,1,0,0,0,0
53202,1,0,1,0,0,0,0
53206,1,0,1,0,0,0,0
53212,1,0,1,0,0,0,0
53213,1,0,1,0,0,0,0
53215,2,0.5,0,0,0,0,0.5
53216,1,1,0,0,0,0,0
53217,9,0,1,0,0,0,0
53218,6,0,0.83,0,0,0,0.17
53224,3,0,1,0,0,0,0
53225,1,0,1,0,0,0,0
53226,1,0,0,0,1,1,0
53227,1,0,0,0,1,1,0
53233,5,0,0.2,0,0,0.8,0
53234,1,0,1,0,0,0,0
53238,4,0,0,0,0,1,0
53253,8,0,0,0,0,1,0
53262,8,0,0,0,0,1,0
53269,1,0,1,0,0,0,0
53270,1,0,1,0,0,0,0
53272,1,0,1,0,0,0,0
53287,1,0,1,0,0,0,0
53293,3,0,1,0,0,0,0
53295,3,0,1,0,0,0,0
53297,2,0,1,0,0,0,0
53298,2,0,1,0,0,0,0
53299,1,0,1,0,0,0,0
53300,1,0,1,0,0,0,0
53303,1,0,1,0,0,0,0
53305,1,0,1,0,0,0,0
53306,1,0,1,0,0,0,0
53312,2,0,1,0,0,0,0
53313,5,0,1,0,0,0,0
53314,22,0.5,0.32,0,0.64,0.73,0
53315,36,0.33,0.75,0,0.39,0.44,0
53316,35,0.31,0.77,0,0.4,0.46,0
53317,35,0.31,0.77,0,0.4,0.46,0
53318,16,0,0,0,0.88,1,0
53320,13,1,0,0.62,1,1,0
53321,16,0.81,0.31,0.5,0.81,0.81,0
53322,16,0.81,0.31,0.5,0.81,0.81,0
53323,13,1,0,0.62,1,1,0
53324,48,0.27,0.75,0.17,0.27,0.27,0
53325,20,0.65,0.25,0.4,0.65,0.9,0
53326,20,0.65,0.25,0.4,0.65,0.9,0
53327,37,0.35,0.84,0.22,0.35,0.35,0
53328,48,0.27,0.75,0.17,0.27,0.27,0
53329,30,0.43,0.6,0.27,0.43,0.6,0
53330,30,0.43,0.6,0.27,0.43,0.6,0
53331,39,0.33,0.79,0.21,0.33,0.33,0
53332,31,0,1,0,0,0,0
53333,34,0,0.91,0.26,0,0,0
53334,34,0,0.91,0.26,0,0,0.03
53335,34,0.24,0.91,0.26,0.26,0.26,0
53336,44,0.18,0.93,0.2,0.2,0.2,0
53337,49,0.16,0.94,0.18,0.18,0.18,0
53338,49,0.16,0.94,0.18,0.18,0.18,0.08
53339,34,0.24,0.79,0.26,0.26,0.26,0.12
53340,34,0.24,0.79,0.26,0.26,0.26,0.12
53341,35,0.23,0.91,0.26,0.26,0.26,0.03
53342,9,0.89,0,1,1,1,0.11
53343,4,0.75,0,0.5,1,1,0
53344,5,0.8,0,0,0.8,0.8,0
53345,6,0.83,0,0,0.67,0.67,0
53349,19,0,0,0,0,1,0
53350,19,0,0,0,0,1,0
53361,1,0,1,0,0,0,0
53365,4,0,0.5,0,0.5,0,0
53366,13,0.31,0.62,0,0.08,0,0
53367,7,0,0.86,0,0.14,0,0
53374,6,0,1,0,0,0,0
53375,6,0,1,0,0,0,0
53376,6,0,1,0,0,0,0
53377,6,0,1,0,0,0,0
53378,1,1,1,0,1,1,0
53379,1,1,0,0,1,1,0
53380,15,0,0.67,0,0,0.2,0.47
53381,15,0,0.67,0,0,0.2,0.47
53382,7,0,0,0,0,0,1
53383,38,0.08,0.84,0.03,0.16,0.08,0.18
53384,16,0,0.69,0,0,0.25,0.44
53385,7,0,0,0,0,0,1
53386,47,0.06,0.87,0.02,0.13,0.13,0.15
53387,7,0,0,0,0,0,1
53388,7,0,0,0,0,0,1
53393,8,0,1,0,0,0.13,0
53394,3,0,1,0,0,0.33,0
53395,19,0,0.95,0,0.32,0.21,0
53396,19,0,1,0,0.26,0.16,0
53397,5,0,0,0,1,0.6,0
53398,4,0,1,0,0,0,0
53399,4,0,1,0,0,0,0
53400,4,0,1,0,0,0,0
53401,4,0,1,0,0,0,0
53402,4,0,1,0,0,0,0
53403,5,0.2,1,0,0.2,0.2,0
53404,1,1,0,0,1,1,0
53406,17,0,0.65,0,0,0.24,0.53
53407,9,0,0,0,0,0,1
53408,40,0.08,0.8,0.03,0.15,0.08,0.23
53409,17,0,0.65,0,0,0.24,0.53
53410,9,0,0,0,0,0,1
53411,49,0.06,0.84,0.02,0.12,0.12,0.18
53412,9,0,0,0,0,0,1
53414,12,1,0,0,1,1,0
53415,28,0.43,0.57,0,0.43,0.61,0
53416,28,0.43,0.57,0,0.43,0.61,0
53417,24,0.5,0.67,0,0.5,0.5,0
53418,24,0.5,0.67,0,0.5,0.5,0
53419,23,0.48,0,0.22,0.61,1,0
53420,36,0.33,0.75,0.14,0.39,0.44,0
53421,43,0.26,0.84,0.12,0.33,0.37,0
53422,43,0.26,0.84,0,0.33,0.37,0
53423,16,0,0,0,0.88,1,0
53424,26,0.42,0.23,0.19,0.54,0.88,0
53425,46,0.26,0.65,0.11,0.3,0.5,0
53426,46,0.24,0.83,0.11,0.3,0.35,0
53427,46,0.24,0.83,0,0.3,0.35,0
53428,29,0,0.52,0,0.48,0.55,0
53429,25,0.52,0,0.24,0.6,0.96,0
53430,35,0.34,0.77,0.17,0.43,0.49,0
53431,35,0.34,0.77,0,0.43,0.49,0
53432,17,0,0,0,0.88,1,0
53433,10,0,0,1,0.8,0.8,0.1
53434,15,0.53,0.8,0.67,0.53,0.53,0
53435,15,0.53,0.8,0.67,0.53,0.53,0
53436,15,0.53,0.8,0.67,0.53,0.53,0
53437,10,0.8,0,1,0.8,0.8,0.3
53438,28,0.29,0.96,0.36,0.29,0.29,0.11
53439,28,0.29,0.96,0.36,0.29,0.29,0.11
